"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"05443P","電子類群益86售02","2,000","2","960","0.47","0.49","0.47","0.49","+","0.04","0.46","10","0.47","20","0.00",
"05444P","金融類群益86售02","133,000","4","110,090","0.82","0.83","0.82","0.83","-","0.03","0.82","100","0.83","100","0.00",
"05445P","臺股指凱基86售01","1,108,000","61","880,770","0.79","0.82","0.77","0.79","+","0.01","0.78","100","0.79","100","0.00",
"05446P","臺股指凱基86售02","0","0","0","--","--","--","--"," ","0.00","2.28","100","2.38","10","0.00",
"05447P","臺股指凱基86售03","120,000","2","152,240","1.28","1.28","1.24","1.24","-","0.01","1.23","100","1.24","100","0.00",
"05448P","臺股指凱基86售04","568,000","6","736,440","1.33","1.33","1.28","1.30","-","0.02","1.29","100","1.30","100","0.00",
"05449P","臺股指凱基86售05","1,000","1","2,120","2.12","2.12","2.12","2.12","-","0.04","2.13","10","2.19","10","0.00",
"05450P","臺股指凱基86售06","20,000","2","25,600","1.28","1.28","1.28","1.28","X","0.00","1.25","10","1.29","10","0.00",
"05451P","臺股指凱基86售07","0","0","0","--","--","--","--"," ","0.00","1.07","10","1.08","10","0.00",
"05452P","臺股指凱基86售08","846,000","22","1,161,550","1.39","1.44","1.34","1.34","-","0.06","1.33","35","1.34","10","0.00",
"05453P","臺股指凱基86售09","0","0","0","--","--","--","--"," ","0.00","1.59","25","1.61","10","0.00",
"05454P","臺股指統一86售15","0","0","0","--","--","--","--"," ","0.00","1.76","25","1.79","10","0.00",
"05455P","臺股指統一86售16","0","0","0","--","--","--","--"," ","0.00","1.52","25","1.53","10","0.00",
"05456P","創意元富86售02","0","0","0","--","--","--","--"," ","0.00","0.98","499","0.99","299","0.00",
"05457P","大同康和86售03","375,000","18","76,000","0.20","0.22","0.17","0.18","+","0.01","0.17","120","0.20","150","0.00",
"05458P","全新康和86售01","0","0","0","--","--","--","--"," ","0.00","1.52","20","1.54","20","0.00",
"05459P","上銀富邦87售03","0","0","0","--","--","--","--"," ","0.00","1.57","20","1.62","10","0.00",
"05460P","友達富邦86售01","500,000","5","1,210,000","2.41","2.44","2.41","2.44","-","0.01","2.43","100","2.44","100","0.00",
"05461P","臺股指富邦86售04","30,000","3","44,500","1.51","1.51","1.47","1.47","-","0.14","1.45","100","1.47","100","0.00",
"05462P","臺股指富邦86售05","825,000","22","919,530","1.08","1.15","1.08","1.14","+","0.03","1.12","100","1.13","100","0.00",
"05463P","臺股指富邦86售06","624,000","19","1,011,440","1.59","1.67","1.59","1.60","-","0.05","1.60","100","1.61","100","0.00",
"05464P","台灣50中信87售02","0","0","0","--","--","--","--"," ","0.00","2.15","25","2.25","10","0.00",
"05465P","台灣50凱基89售05","13,000","1","13,650","1.05","1.05","1.05","1.05","-","0.03","1.04","10","1.06","10","0.00",
"05466P","鴻海凱基86售02","76,000","7","79,250","1.10","1.10","1.03","1.03","-","0.12","1.00","499","1.01","499","0.00",
"05467P","臺股指麥證86售04","85,000","2","63,750","0.75","0.75","0.75","0.75","X","0.00","0.73","499","0.74","499","0.00",
"05468P","臺股指麥證86售05","2,176,000","72","2,256,560","1.06","1.09","0.98","1.00","-","0.06","0.98","40","0.99","11","0.00",
"05469P","臺股指麥證86售06","559,000","10","681,410","1.20","1.23","1.20","1.23","+","0.06","1.22","25","1.23","10","0.00",
"05470P","嘉晶元大86售02","32,000","2","17,940","0.56","0.57","0.56","0.57","-","0.13","0.56","25","0.57","10","0.00",
"05471P","可成群益86售08","3,061,000","105","1,737,580","0.63","0.64","0.53","0.53","-","0.10","0.52","25","0.53","47","0.00",
"05472P","可成群益86售09","0","0","0","--","--","--","--"," ","0.00","1.13","10","1.14","10","0.00",
"05473P","可成群益87售02","0","0","0","--","--","--","--"," ","0.00","1.09","30","1.10","10","0.00",
"05474P","臻鼎群益86售01","0","0","0","--","--","--","--"," ","0.00","1.55","30","1.56","30","0.00",
"05475P","元油2X國票87售07","0","0","0","--","--","--","--"," ","0.00","2.69","10","2.73","10","0.00",
"05476P","台郡國票87售01","335,000","7","199,860","0.60","0.60","0.55","0.55","-","0.06","0.54","30","0.55","30","0.00",
